Cleaned_comment,Review_len,punct,tokens,lemmatized_review
ada apa pake topeng kurang nyaman kenapa mukanya tuh emang nya bopeng y,59,0.0,"['ada', 'apa', 'pake', 'topeng', 'kurang', 'nyaman', 'kenapa', 'mukanya', 'tuh', 'emang', 'nya', 'bopeng', 'y']",ada apa pake topeng kurang nyaman kenapa mukanya tuh emang nya bopeng
wowww,5,0.0,['wowww'],wowww
kalau dikasi pilihan mending brio atau ini untuk mobil pertama daily,58,0.0,"['kalau', 'dikasi', 'pilihan', 'mending', 'brio', 'atau', 'ini', 'untuk', 'mobil', 'pertama', 'daily']",kalau dikasi pilihan mending brio atau ini untuk mobil pertama daily
tolong yang mau beli ini pikir matang matang tau sendiri lah,50,0.0,"['tolong', 'yang', 'mau', 'beli', 'ini', 'pikir', 'matang', 'matang', 'tau', 'sendiri', 'lah']",tolong yang mau beli ini pikir matang matang tau sendiri lah
kecepatan maksimal hanya 100km,27,0.0,"['kecepatan', 'maksimal', 'hanya', '100km']",kecepatan maksimal hanya 100km
ayo genduk masuk kwkwkwkw,22,0.0,"['ayo', 'genduk', 'masuk', 'kwkwkwkw']",ayo genduk masuk kwkwkwkw
tai BYD baru ambil ayla beberapa bulan lalu eh sebulan kemudian keluar ginian seketika hati hancur wkwkwk,89,0.0,"['tai', 'BYD', 'baru', 'ambil', 'ayla', 'beberapa', 'bulan', 'lalu', 'eh', 'sebulan', 'kemudian', 'keluar', 'ginian', 'seketika', 'hati', 'hancur', 'wkwkwk']",tai BYD baru ambil ayla beberapa bulan lalu eh sebulan kemudian keluar ginian seketika hati hancur wkwkwk
interiornya bagus di kelasnya,26,0.0,"['interiornya', 'bagus', 'di', 'kelasnya']",interiornya bagus di kelasnya
BYD atto 1 indonesia depanny jelek banget banding yang facelift di oz and negara laennya,74,0.0,"['BYD', 'atto', '1', 'indonesia', 'depanny', 'jelek', 'banget', 'banding', 'yang', 'facelift', 'di', 'oz', 'and', 'negara', 'laennya']",BYD atto 1 indonesia depanny jelek banget banding yang facelift di oz negara laennya
untuk jdi taxi online ok tidak teman,30,0.0,"['untuk', 'jdi', 'taxi', 'online', 'ok', 'tidak', 'teman']",untuk jdi taxi online ok tidak teman
pengennnn beli BYD,16,0.0,"['pengennnn', 'beli', 'BYD']",pengennnn beli BYD
gw salah 1 pemake ev baru 2 tahun batre kmbung harga y harga 1 mobil japan biaya lustrik jadi mahal baiaya paaang carging jga mahal prawatannya mahal juga gw skrng kmbali pake bensin klw di hitung sama saja gak ada beda mobil listrik dan bensin malah gw rasa masih aman dan awet bensin kapok pake ev beli 400 jta gw jual 150 jta,266,0.0,"['gw', 'salah', '1', 'pemake', 'ev', 'baru', '2', 'tahun', 'batre', 'kmbung', 'harga', 'y', 'harga', '1', 'mobil', 'japan', 'biaya', 'lustrik', 'jadi', 'mahal', 'baiaya', 'paaang', 'carging', 'jga', 'mahal', 'prawatannya', 'mahal', 'juga', 'gw', 'skrng', 'kmbali', 'pake', 'bensin', 'klw', 'di', 'hitung', 'sama', 'saja', 'gak', 'ada', 'beda', 'mobil', 'listrik', 'dan', 'bensin', 'malah', 'gw', 'rasa', 'masih', 'aman', 'dan', 'awet', 'bensin', 'kapok', 'pake', 'ev', 'beli', '400', 'jta', 'gw', 'jual', '150', 'jta']",gw salah 1 pemake ev baru 2 tahun batre kmbung harga harga 1 mobil japan biaya lustrik jadi mahal baiaya paaang carging jga mahal prawatannya mahal juga gw skrng kmbali pake bensin klw di hitung sama saja gak ada beda mobil listrik dan bensin malah gw rasa masih aman dan awet bensin kapok pake ev beli 400 jta gw jual 150 jta
liat chanel orang arab si joe mainm ke pabrikan BYD pantes elonmas ketakutan,64,0.0,"['liat', 'chanel', 'orang', 'arab', 'si', 'joe', 'mainm', 'ke', 'pabrikan', 'BYD', 'pantes', 'elonmas', 'ketakutan']",liat chanel orang arab si joe mainm ke pabrikan BYD pantes elonmas ketakutan
kalo di tanjakan kuat gak nih,24,0.0,"['kalo', 'di', 'tanjakan', 'kuat', 'gak', 'nih']",kalo di tanjakan kuat gak nih
thank you for sharing,18,0.0,"['thank', 'you', 'for', 'sharing']",thank sharing
kita se indonesia pengen nyobain,28,0.0,"['kita', 'se', 'indonesia', 'pengen', 'nyobain']",kita se indonesia pengen nyobain
ganti om topengnya udah mulai buluk,30,0.0,"['ganti', 'om', 'topengnya', 'udah', 'mulai', 'buluk']",ganti om topengnya udah mulai buluk
mobil tamiya yang jadi kenyataan,28,0.0,"['mobil', 'tamiya', 'yang', 'jadi', 'kenyataan']",mobil tamiya yang jadi kenyataan
nunggu kalau kecelakaan bisa lari dulu baru tertarik di pusatnya pada balik ke hybrid,72,0.0,"['nunggu', 'kalau', 'kecelakaan', 'bisa', 'lari', 'dulu', 'baru', 'tertarik', 'di', 'pusatnya', 'pada', 'balik', 'ke', 'hybrid']",nunggu kalau kecelakaan bisa lari dulu baru tertarik di pusatnya pada balik ke hybrid
lcgc Toyota pasti diskon besar ini terutama Wuling langsung diskon 100 jt,62,0.0,"['lcgc', 'Toyota', 'pasti', 'diskon', 'besar', 'ini', 'terutama', 'Wuling', 'langsung', 'diskon', '100', 'jt']",lcgc Toyota pasti diskon besar ini terutama Wuling langsung diskon 100 jt
pastikan sebelum beli mobil ini hrs punya garasi dl ya biar tidak parkir di jalanan milik umum,78,0.0,"['pastikan', 'sebelum', 'beli', 'mobil', 'ini', 'hrs', 'punya', 'garasi', 'dl', 'ya', 'biar', 'tidak', 'parkir', 'di', 'jalanan', 'milik', 'umum']",pastikan sebelum beli mobil ini hr punya garasi dl ya biar tidak parkir di jalanan milik umum
bpkb nya klu di gadein laku gk bang,28,0.0,"['bpkb', 'nya', 'klu', 'di', 'gadein', 'laku', 'gk', 'bang']",bpkb nya klu di gadein laku gk bang
topeng di bagian mulud berlubang om,30,0.0,"['topeng', 'di', 'bagian', 'mulud', 'berlubang', 'om']",topeng di bagian mulud berlubang om
mau gimana pun jilat mobil ic teknologi semakin maju mau tidak mau nanti juga pada nerima mobil listrik banyak perusahaan gede yang menolak teknologi dan akhirnya bangkrut contohnya nokia sama blackberry,173,0.0,"['mau', 'gimana', 'pun', 'jilat', 'mobil', 'ic', 'teknologi', 'semakin', 'maju', 'mau', 'tidak', 'mau', 'nanti', 'juga', 'pada', 'nerima', 'mobil', 'listrik', 'banyak', 'perusahaan', 'gede', 'yang', 'menolak', 'teknologi', 'dan', 'akhirnya', 'bangkrut', 'contohnya', 'nokia', 'sama', 'blackberry']",mau gimana pun jilat mobil ic teknologi semakin maju mau tidak mau nanti juga pada nerima mobil listrik banyak perusahaan gede yang menolak teknologi dan akhirnya bangkrut contohnya nokia sama blackberry
jazz ev,6,0.0,"['jazz', 'ev']",jazz ev
yang penting review stop and go di jalur puncak di kemiringan 30 8 derajat hingga 59 1 kuat gak motornya,85,0.0,"['yang', 'penting', 'review', 'stop', 'and', 'go', 'di', 'jalur', 'puncak', 'di', 'kemiringan', '30', '8', 'derajat', 'hingga', '59', '1', 'kuat', 'gak', 'motornya']",yang penting review stop go di jalur puncak di kemiringan 30 8 derajat hingga 59 1 kuat gak motornya
kenapa harus lampu depannya lambo sih,32,0.0,"['kenapa', 'harus', 'lampu', 'depannya', 'lambo', 'sih']",kenapa harus lampu depannya lambo sih
design model chasisnya ternyata simple banget ya mantesan harganya lebih terjangkau di banding mobil brand lain,96,0.0,"['design', 'model', 'chasisnya', 'ternyata', 'simple', 'banget', 'ya', 'mantesan', 'harganya', 'lebih', 'terjangkau', 'di', 'banding', 'mobil', 'brand', 'lain']",design model chasisnya ternyata simple banget ya mantesan harganya lebih terjangkau di banding mobil brand lain
bagus sekali pesan satu acchh,25,0.0,"['bagus', 'sekali', 'pesan', 'satu', 'acchh']",bagus sekali pesan satu acchh
info donk kalau misalkan ganti batrai kisaran berapa mobil listrik kaya gitu,65,0.0,"['info', 'donk', 'kalau', 'misalkan', 'ganti', 'batrai', 'kisaran', 'berapa', 'mobil', 'listrik', 'kaya', 'gitu']",info donk kalau misalkan ganti batrai kisaran berapa mobil listrik kaya gitu
nunggu bekasnya menareeekkk nihhh,30,0.0,"['nunggu', 'bekasnya', 'menareeekkk', 'nihhh']",nunggu bekasnya menareeekkk nihhh
kendaraan listrik sangat2 merusak alam,34,0.0,"['kendaraan', 'listrik', 'sangat2', 'merusak', 'alam']",kendaraan listrik sangat2 merusak alam
siap2 mobil listrik akan berakhir di madura,37,0.0,"['siap2', 'mobil', 'listrik', 'akan', 'berakhir', 'di', 'madura']",siap2 mobil listrik akan berakhir di madura
1 58 se ngos ngosan itukah bapak yang pegang kamera kedengeran banget pas pake headset,72,0.0,"['1', '58', 'se', 'ngos', 'ngosan', 'itukah', 'bapak', 'yang', 'pegang', 'kamera', 'kedengeran', 'banget', 'pas', 'pake', 'headset']",1 58 se ngo ngosan itukah bapak yang pegang kamera kedengeran banget pa pake headset
merk t udh byk iklan coba deh meraba kekurangan mgkn hrg trklu tnggi selain itu cb dlht lg kl nerima karyawan jgn hny fanatik ke satu suku saja suku lainnya dianggap tidak bgs dzalim tau namanya t untuk abangnya sukses selalu channel nya,195,0.0,"['merk', 't', 'udh', 'byk', 'iklan', 'coba', 'deh', 'meraba', 'kekurangan', 'mgkn', 'hrg', 'trklu', 'tnggi', 'selain', 'itu', 'cb', 'dlht', 'lg', 'kl', 'nerima', 'karyawan', 'jgn', 'hny', 'fanatik', 'ke', 'satu', 'suku', 'saja', 'suku', 'lainnya', 'dianggap', 'tidak', 'bgs', 'dzalim', 'tau', 'namanya', 't', 'untuk', 'abangnya', 'sukses', 'selalu', 'channel', 'nya']",merk udh byk iklan coba deh meraba kekurangan mgkn hrg trklu tnggi selain itu cb dlht lg kl nerima karyawan jgn hny fanatik ke satu suku saja suku lainnya dianggap tidak bgs dzalim tau namanya untuk abangnya sukses selalu channel nya
kmrn lihat m6 denza chery waduhh kok mevvvaaahh sekalii lihatnya,55,0.0,"['kmrn', 'lihat', 'm6', 'denza', 'chery', 'waduhh', 'kok', 'mevvvaaahh', 'sekalii', 'lihatnya']",kmrn lihat m6 denza chery waduhh kok mevvvaaahh sekalii lihatnya
semoga BYD bneran bagus,20,0.0,"['semoga', 'BYD', 'bneran', 'bagus']",semoga BYD bneran bagus
kelemahan nya ya kalo batere modar kudu siap duit besar buat gantiin nya atau jadi rongsokan mobil mesin punya duit 100rb bisa isi bensin jalan ev batere rusak auto mangkrak kalo tidak siap duit buat gantiin,172,0.0,"['kelemahan', 'nya', 'ya', 'kalo', 'batere', 'modar', 'kudu', 'siap', 'duit', 'besar', 'buat', 'gantiin', 'nya', 'atau', 'jadi', 'rongsokan', 'mobil', 'mesin', 'punya', 'duit', '100rb', 'bisa', 'isi', 'bensin', 'jalan', 'ev', 'batere', 'rusak', 'auto', 'mangkrak', 'kalo', 'tidak', 'siap', 'duit', 'buat', 'gantiin']",kelemahan nya ya kalo batere modar kudu siap duit besar buat gantiin nya atau jadi rongsokan mobil mesin punya duit 100rb bisa isi bensin jalan ev batere rusak auto mangkrak kalo tidak siap duit buat gantiin
murah amat tuker sama hp vivo seken bisa gak nih,39,0.0,"['murah', 'amat', 'tuker', 'sama', 'hp', 'vivo', 'seken', 'bisa', 'gak', 'nih']",murah amat tuker sama hp vivo seken bisa gak nih
mau beli tkt harg jual anjlog,24,0.0,"['mau', 'beli', 'tkt', 'harg', 'jual', 'anjlog']",mau beli tkt harg jual anjlog
kalau Toyota Honda Suzuki mau survive ya keluarkan full ev car lah harga sama tidak usah ribet,78,0.0,"['kalau', 'Toyota', 'Honda', 'Suzuki', 'mau', 'survive', 'ya', 'keluarkan', 'full', 'ev', 'car', 'lah', 'harga', 'sama', 'tidak', 'usah', 'ribet']",kalau Toyota Honda Suzuki mau survive ya keluarkan full ev car lah harga sama tidak usah ribet
idaman supir grab ini,18,0.0,"['idaman', 'supir', 'grab', 'ini']",idaman supir grab ini
lucu mabok om gendut pagi mobil biru,30,0.0,"['lucu', 'mabok', 'om', 'gendut', 'pagi', 'mobil', 'biru']",lucu mabok om gendut pagi mobil biru
kalau bikin model jeep mirip2 jimny sepertinya ok juga ni apa lagi kalau harga nya di bawah lcgc,79,0.0,"['kalau', 'bikin', 'model', 'jeep', 'mirip2', 'jimny', 'sepertinya', 'ok', 'juga', 'ni', 'apa', 'lagi', 'kalau', 'harga', 'nya', 'di', 'bawah', 'lcgc']",kalau bikin model jeep mirip2 jimny sepertinya ok juga ni apa lagi kalau harga nya di bawah lcgc
BYD keren bener murah lagi pabrikan jepang ketar ketir,46,0.0,"['BYD', 'keren', 'bener', 'murah', 'lagi', 'pabrikan', 'jepang', 'ketar', 'ketir']",BYD keren bener murah lagi pabrikan jepang ketar ketir
5 48 gak minum apa2 kok macbook,25,0.0,"['5', '48', 'gak', 'minum', 'apa2', 'kok', 'macbook']",5 48 gak minum apa2 kok macbook
pada bilang spam iklan saya tidak relate soalnya youtube premium wuahahaha,64,0.0,"['pada', 'bilang', 'spam', 'iklan', 'saya', 'tidak', 'relate', 'soalnya', 'youtube', 'premium', 'wuahahaha']",pada bilang spam iklan saya tidak relate soalnya youtube premium wuahahaha
Toyota iklan terus bukan nurunin harga upgrade salah startegi krn tetep kemahalan,70,0.0,"['Toyota', 'iklan', 'terus', 'bukan', 'nurunin', 'harga', 'upgrade', 'salah', 'startegi', 'krn', 'tetep', 'kemahalan']",Toyota iklan terus bukan nurunin harga upgrade salah startegi krn tetep kemahalan
lemah harganya apalagi bekasnya,28,0.0,"['lemah', 'harganya', 'apalagi', 'bekasnya']",lemah harganya apalagi bekasnya
